brand_id,brand_name,category,brand_type,country,founded_year,notes
001,메가스터디,교육,시장혁신형,한국,1999,손주은 강사 혼자 만든 온라인 수능 교육 혁명
002,ST유니타스,교육,시장혁신형,한국,1992,공무원·어학 시험 교육 대명사
003,빨간펜,교육,레거시대기업,한국,1985,교원그룹 방문 학습지 브랜드
004,눈높이,교육,레거시대기업,한국,1977,대교 방문 학습지. 이름 자체가 교육 철학이 됨
005,웅진씽크빅,교육,레거시대기업,한국,1980,전집 방문 판매에서 디지털 교육까지. 그룹 부도 후 생존
006,에듀윌,교육,시장혁신형,한국,2001,공인중개사 합격률 1위 마케팅으로 자격증 시장 창출
007,이투스,교육,시장혁신형,한국,2000,메가스터디 대항마. 시스템 중심 온라인 교육 플랫폼
008,천재교육,교육,레거시대기업,한국,1952,교과서 출판에서 교육 종합기업으로
009,디딤돌,교육,레거시대기업,한국,1987,수학 문제집 전문. 브랜드명이 교육 방법론이 됨
010,종로학원,교육,레거시대기업,한국,1969,재수 학원의 상징. 지명이 브랜드가 된 케이스
011,비상교육,교육,시장혁신형,한국,2002,교과서·참고서에서 디지털 학습 콘텐츠로 전환
012,아이스크림에듀,교육,시장혁신형,한국,2000,초등 온라인 학습 플랫폼 선구자
013,밀크T,교육,시장혁신형,한국,2013,천재교육의 AI 기반 디지털 학습 플랫폼
014,와이즈캠프,교육,시장혁신형,한국,2002,웹 기반 초등 학습지의 개척자
015,윤선생영어,교육,레거시대기업,한국,1977,방문 영어 교육의 역사. 선생님 이름이 브랜드가 됨
016,해법수학,교육,레거시대기업,한국,1990,수학 문제집 브랜드의 대명사
017,스터디맥스,교육,시장혁신형,한국,2008,토익·어학 스트리밍 강의 최초 플랫폼
018,공부의신,교육,시장혁신형,한국,2011,공부법 자체를 콘텐츠로 만든 브랜드
019,한솔교육,교육,레거시대기업,한국,1991,유아 전집과 방문 학습지. 한솔그룹 분리 독립 브랜드
020,튼튼영어,교육,레거시대기업,한국,1995,영어 그림책 방문 판매의 선구자
021,석봉토스트,식음료,생계형로컬,한국,1980,한 남자의 길거리 토스트가 전국구 이름이 됨
022,성심당,식음료,생계형로컬,한국,1956,피란민 부부 찐빵 노점에서 시작. 대전을 벗어나지 않겠다는 결정
023,이성당,식음료,생계형로컬,한국,1945,군산. 한국에서 가장 오래된 빵집 타이틀이 브랜드가 됨
024,안흥찐빵,식음료,생계형로컬,한국,1970,횡성 안흥면. 지명이 그대로 브랜드가 된 경우
025,이삭토스트,식음료,시장혁신형,한국,1995,길거리 토스트를 프랜차이즈 시스템으로 만든 최초. 해외 진출
026,맘스터치,식음료,시장혁신형,한국,1997,글로벌 버거 사이 살아남은 국내 프랜차이즈. 닭버거 틈새
027,죠스떡볶이,식음료,시장혁신형,한국,2005,포장마차 떡볶이를 브랜드화한 선구자
028,빽다방,식음료,시장혁신형,한국,2006,천원 커피로 고급화 일변도 커피 시장에 역주행
029,원할머니보쌈,식음료,생계형로컬,한국,1983,할머니 보쌈 레시피가 전국 프랜차이즈가 된 과정
030,홍루이젠,식음료,시장혁신형,한국,2009,대만식 샌드위치의 한국화. 도시락 시장 선구자
031,교촌치킨,식음료,시장혁신형,한국,1991,간장치킨 원조 논란과 함께 치킨 시장 재편 주도
032,BBQ,식음료,시장혁신형,한국,1995,제너시스BBQ. 올리브유 치킨으로 프리미엄 치킨 시장 개척
033,네네치킨,식음료,시장혁신형,한국,1999,양념치킨 전문으로 치킨 프랜차이즈 시장 세분화
034,굽네치킨,식음료,시장혁신형,한국,2006,오븐구이 치킨으로 튀김 일변도 치킨 시장에 차별화
035,처갓집양념치킨,식음료,레거시대기업,한국,1988,양념치킨 프랜차이즈 원조 격. 치킨 문화 형성
036,공차코리아,식음료,시장혁신형,대만,2012,버블티 붐을 만든 대만 브랜드의 한국화
037,탐앤탐스,식음료,시장혁신형,한국,1999,커피·와플 복합 매장 모델의 선구자
038,카페베네,식음료,시장혁신형,한국,2008,스타마케팅으로 급성장 후 급락. 브랜드 흥망성쇠의 교과서
039,더벤티,식음료,시장혁신형,한국,2016,대용량 저가 음료 시장 개척
040,명랑핫도그,식음료,시장혁신형,한국,2016,수제 핫도그 프랜차이즈 붐의 선두 브랜드
041,두끼떡볶이,식음료,시장혁신형,한국,2012,떡볶이 무한리필 뷔페라는 새 카테고리 창출
042,설빙,식음료,시장혁신형,한국,2010,빙수의 프리미엄화. 계절 메뉴를 365일 판매 가능하게
043,봉구스밥버거,식음료,시장혁신형,한국,2006,밥으로 만든 버거. 한국형 패스트푸드 실험
044,폴바셋,식음료,시장혁신형,한국,2009,매일유업이 만든 스페셜티 커피. 식품기업의 카페 브랜드화
