brand,title,url,note,industry,description
무신사,MUSINSA overview,https://about.musinsa.com/newsroom/about-musinsa,"무신사는 한국 패션 플랫폼으로 국내 디자이너 브랜드의 글로벌 유통과 젊은 소비자 접점을 확장한 사례로 확인됨.",리테일·커머스,무신사는 한국 패션 플랫폼으로 국내 디자이너 브랜드와 젊은 소비자를 연결하는 리테일·커머스 브랜드입니다.
마뗑킴,Matin Kim Osaka pop-up with MUSINSA,https://about.musinsa.com/newsroom/2025-0131,"무신사 공식 뉴스룸에서 일본 오사카 팝업 방문객 9000명과 K패션 해외 확장 사례로 확인됨.",패션·럭셔리,마뗑킴은 무신사와 함께 일본 시장 팝업과 오프라인 매장을 전개한 한국 디자이너 패션 브랜드입니다.
마뗑킴,Matin Kim first overseas store in Tokyo,https://about.musinsa.com/newsroom/matin-kim-tokyo,"도쿄 시부야 매장을 통해 첫 해외 리테일 진출을 진행한 한국 패션 브랜드로 확인됨.",패션·럭셔리,마뗑킴은 일본 오프라인 매장 진출로 K패션 해외 확장을 보여주는 한국 패션 브랜드입니다.
올리브영,Olive Young 2025 Impact Report,https://contents.cj.net/esg/report/EN/OY_2025%20Impact%20Report_Web_eng.pdf,"CJ Olive Young 공식 Impact Report에서 글로벌 K뷰티 유통과 관광객 접점을 확인할 수 있음.",뷰티·퍼스널케어,올리브영은 한국 H&B 리테일을 대표하는 K뷰티 유통 브랜드입니다.
다이소,Foreign tourists shop like Koreans at Musinsa Olive Young Daiso,https://www.koreatimes.co.kr/amp/economy/others/20250626/more-foreign-tourists-shop-like-koreans-at-musinsa-olive-young-daiso,"외국인 관광객 소비 동선에서 무신사·올리브영과 함께 언급된 생활용품 리테일 브랜드.",리테일·커머스,다이소는 한국 관광객 소비 동선과 생활용품 구매 경험에서 주목받는 리테일 브랜드입니다.
젠틀몬스터,2024 Seoul High Street Retail,https://assets.cushmanwakefield.com/-/media/cw/apac/south-korea/insights/2024-seoul-high-street-retail_eng.pdf?rev=9491a086de864ac2b8d698fb2b5a6e3a,"서울 하이스트리트 리테일 리포트에서 한국 주요 리테일/패션 브랜드 사례로 확인됨.",패션·럭셔리,젠틀몬스터는 아이웨어와 공간형 매장 경험으로 알려진 한국 패션·라이프스타일 브랜드입니다.
젝시믹스,2024 Seoul High Street Retail,https://assets.cushmanwakefield.com/-/media/cw/apac/south-korea/insights/2024-seoul-high-street-retail_eng.pdf?rev=9491a086de864ac2b8d698fb2b5a6e3a,"서울 리테일 리포트에서 한국 주요 브랜드 사례로 확인됨.",스포츠·아웃도어,젝시믹스는 애슬레저와 스포츠웨어를 중심으로 성장한 한국 스포츠·라이프스타일 브랜드입니다.
마르디 메크르디,How Marithe Francois Girbaud made a comeback in Korea,https://www.koreatimes.co.kr/amp/lifestyle/trends/20250924/how-marithe-francois-girbaud-made-a-comeback-in-the-fashion-world-especially-in-korea,"코리아타임스 기사에서 시그니처 플라워 티셔츠와 모자로 주목받는 브랜드로 언급됨.",패션·럭셔리,마르디 메크르디는 시그니처 그래픽으로 한국 패션 시장에서 인지도를 높인 패션 브랜드입니다.
마리떼 프랑소와 저버,How Marithe Francois Girbaud made a comeback in Korea,https://www.koreatimes.co.kr/amp/lifestyle/trends/20250924/how-marithe-francois-girbaud-made-a-comeback-in-the-fashion-world-especially-in-korea,"한국 유통사 주도의 리브랜딩과 홍콩 등 해외 매장 확장 맥락이 확인됨.",패션·럭셔리,마리떼 프랑소와 저버는 한국 시장에서 리브랜딩과 해외 확장을 통해 다시 주목받은 패션 브랜드입니다.
디스이즈네버댓,MUSINSA overview,https://about.musinsa.com/newsroom/about-musinsa,"무신사 글로벌 스토어에서 국내외 인지도를 얻은 한국 디자이너 브랜드 사례로 언급됨.",패션·럭셔리,디스이즈네버댓은 무신사 글로벌 스토어를 통해 해외 소비자와 만나는 한국 스트리트 패션 브랜드입니다.
